,rtn_portfolio,year,event,rtn_kospi
2008-12-12,-0.01030229946640077,2008,before,-4.383990806475269
2008-12-15,0.04247748341198466,2008,before,4.925621728432628
2008-12-16,0.009299763842940265,2008,before,0.29098138975443
2008-12-17,-0.006998028656552883,2008,before,0.7050811833324566
2008-12-18,0.007072934181360498,2008,before,0.5266111715911626
2008-12-19,-0.0031990350075826526,2008,before,0.4302996297643968
2008-12-22,0.006927771060808932,2008,before,-0.1151583346994722
2008-12-23,-0.013736884308709398,2008,santa,-2.9925083032670274
2008-12-24,-0.01002786673823325,2008,santa,-1.3807489246001947
2008-12-26,-0.0002069069881387661,2008,santa,-0.9437244084591124
2008-12-29,-0.00153093317218702,2008,santa,-0.0241550404154633
2008-12-30,0.027035592785138434,2008,santa,0.6156108316311304
2009-01-02,0.03698933705268042,2008,santa,2.9284956084995706
2009-01-05,0.00317553398445968,2008,santa,1.3970901619071665
2009-12-14,0.02520402673444669,2009,before,0.4749831010456118
2009-12-15,0.022558152542999237,2009,before,0.0648711859306372
2009-12-16,-0.009572013485009936,2009,before,-0.0966464792843235
2009-12-17,0.0006565893833628609,2009,before,-0.9854362658208272
2009-12-18,0.012812808854278056,2009,before,-0.0485439590254266
2009-12-21,-0.013321364448808241,2009,before,-0.1706126461472945
2009-12-22,-0.010110781203504556,2009,before,0.6878635426976976
2009-12-23,-0.025756264701370782,2009,santa,0.3509390522942412
2009-12-24,0.0068794616103170485,2009,santa,1.2634297735473865
2009-12-28,-0.01417222134613748,2009,santa,0.1931833081320944
2009-12-29,-0.04118540315208129,2009,santa,-0.7777683551398185
2009-12-30,0.04627847529653051,2009,santa,0.615256336857084
2010-01-04,-0.0005626331104531639,2009,santa,0.7945230163365791
2010-01-05,-0.006109527321652088,2009,santa,-0.3254459822642719
2010-12-15,0.0012971000348176054,2010,before,0.4195978913289044
2010-12-16,-0.004585467395237238,2010,before,-0.408429838915203
2010-12-17,0.010675622676114323,2010,before,0.8490801833861639
2010-12-20,-0.008517436451435217,2010,before,-0.2970941808312921
2010-12-21,0.012295331116255135,2010,before,0.8320597283381526
2010-12-22,-0.0035058181471561154,2010,before,0.0500723850377138
2010-12-23,0.002551863786433267,2010,before,-0.0284555818309995
2010-12-24,-0.010437661764367199,2010,santa,-0.3891993539684946
2010-12-27,0.002912020232405659,2010,santa,-0.3650982592049101
2010-12-28,0.006268807177359385,2010,santa,0.5503936427985856
2010-12-29,0.014560907545036809,2010,santa,0.5001693886824476
2010-12-30,0.0008310347260400064,2010,santa,0.367509006724509
2011-01-03,0.009713108486888212,2010,santa,0.9302817223305616
2011-01-04,0.008156446347837317,2010,santa,0.7274991249017537
2011-12-14,0.006546417720664233,2011,before,-0.3385115498108049
2011-12-15,-0.011123930309437133,2011,before,-2.0799361942369754
2011-12-16,-0.0008527140972901521,2011,before,1.1461635499685263
2011-12-19,-0.010615533471385169,2011,before,-3.425612978798054
2011-12-20,0.0035475403999924433,2011,before,0.9077456284295904
2011-12-21,0.006628649546077945,2011,before,3.086900258619729
2011-12-22,0.0048735370925482155,2011,before,-0.0497748837270717
2011-12-23,0.005270454391401498,2011,santa,1.0679343635440874
2011-12-26,0.003055948585715012,2011,santa,-0.563405474251033
2011-12-27,0.0008307066636461208,2011,santa,-0.7906464171208549
2011-12-28,0.01570083326995695,2011,santa,-0.9174723528989182
2011-12-29,-0.005793851922902886,2011,santa,0.033970101628733
2012-01-02,0.0006322653028561731,2011,santa,0.0345068238731816
2012-01-03,0.007413021136143819,2011,santa,2.685109763827098
2012-12-11,-0.006679357476021134,2012,before,0.3678286218712134
2012-12-12,0.0038739293685961934,2012,before,0.5507399047120609
2012-12-13,0.005445844479926735,2012,before,1.3834932438160807
2012-12-14,-0.004368114720135878,2012,before,-0.3859644588927513
2012-12-17,-0.0008509475861701362,2012,before,-0.599992608622657
2012-12-18,0.0002102723504921896,2012,before,0.5052781698396736
2012-12-20,0.004763901017220968,2012,before,0.3216128870052959
2012-12-21,0.0010959435766819028,2012,santa,-0.954236361824834
2012-12-24,0.006577125773995576,2012,santa,0.0706871427619493
2012-12-26,0.0019949065907576406,2012,santa,0.0216999385712401
2012-12-27,0.00955536857462496,2012,santa,0.2572821584531537
2012-12-28,0.001765509318942622,2012,santa,0.4880908426472485
2013-01-02,0.005890199996229385,2012,santa,1.7050111877663363
2013-01-03,0.003589429131527092,2012,santa,-0.5755473165656277
2013-12-12,-0.006124138270308076,2013,before,-0.5075869270461442
2013-12-13,-0.0013710781582399621,2013,before,-0.2550913596641169
2013-12-16,-0.004022113756431977,2013,before,-0.0896632925084905
2013-12-17,7.572370411691316e-05,2013,before,0.2340446046030564
2013-12-18,0.005106276430916095,2013,before,0.4522477383887224
2013-12-19,0.0014462688362992264,2013,before,0.0516562357873562
2013-12-20,-0.0007196280290733714,2013,before,0.3897426708537876
2013-12-23,0.01014706582556069,2013,santa,0.6826853167202662
2013-12-24,0.005712366886694551,2013,santa,0.2353635471857629
2013-12-26,0.005651355336542651,2013,santa,-0.1144048996692959
2013-12-27,0.02128185553779631,2013,santa,0.1490511877142442
2013-12-30,0.0003318213890072366,2013,santa,0.452480991213755
2014-01-02,-0.002066781344475343,2013,santa,-2.1950552946953583
2014-01-03,-0.0014393466953922765,2013,santa,-1.0700505484877
2014-12-12,0.0019951518597461707,2014,before,0.2671408704258748
2014-12-15,-0.01597512636803506,2014,before,-0.0702486646465105
2014-12-16,-0.019757223133962873,2014,before,-0.8451530230035864
2014-12-17,-0.0004887576583452275,2014,before,-0.2084926288092092
2014-12-18,-0.0018599388828369986,2014,before,-0.1399900077803662
2014-12-19,-0.00585880400133863,2014,before,1.7117249258893352
2014-12-22,0.012438188935904948,2014,before,0.6808368367243967
2014-12-23,0.0058858372252115,2014,santa,-0.2109996086829491
2014-12-24,0.005109173470099614,2014,santa,0.3914330818589162
2014-12-26,0.010680171464961415,2014,santa,0.0796281145062138
2014-12-29,0.011776743168728478,2014,santa,-1.0420113579977408
2014-12-30,0.006104504809100037,2014,santa,-0.6364580220804994
2015-01-02,-0.0023997933580899617,2014,santa,0.5664038640592395
2015-01-05,-0.00526534259770074,2014,santa,-0.5549065494586114
2015-12-14,-0.014682802378827579,2015,before,-1.0674245815112893
2015-12-15,0.01030881549535847,2015,before,0.2671423969845321
2015-12-16,0.007223400955732321,2015,before,1.884667339021617
2015-12-17,0.005935084999672223,2015,before,0.4346469187225921
2015-12-18,-0.0004024865827080542,2015,before,-0.1334715919722784
2015-12-21,0.017899458054885447,2015,before,0.2971668021788165
2015-12-22,0.0078838604586639,2015,before,0.5739034380231933
2015-12-23,0.0051106399815716705,2015,santa,0.3342389646249888
2015-12-24,0.009264224560383692,2015,santa,-0.4286644998873434
2015-12-28,0.0007548237862150876,2015,santa,-1.3357428726397558
2015-12-29,0.0009546781137784817,2015,santa,0.1145586149545296
2015-12-30,0.004968901505712064,2015,santa,-0.2542833963620095
2016-01-04,-0.022997382657314977,2015,santa,-2.1694707902856103
2016-01-05,0.003239425083970467,2015,santa,0.613418013266176
2016-12-14,0.0010293331682874386,2016,before,0.0437143123692473
2016-12-15,0.004363230077269796,2016,before,-0.0107994473703465
2016-12-16,-0.008258925029563862,2016,before,0.2744686496601645
2016-12-19,0.0040320055163900114,2016,before,-0.1885172949480651
2016-12-20,0.003780304960716154,2016,before,0.1741534609324802
2016-12-21,-0.00035196062736043027,2016,before,-0.194911730166214
2016-12-22,0.0050293499166969464,2016,before,-0.1094221923635951
2016-12-23,0.007904772374613553,2016,santa,0.0083529715111607
2016-12-26,0.0008206466308592409,2016,santa,0.0908677029202387
2016-12-27,0.0025329127733553377,2016,santa,0.2169080576769788
2016-12-28,0.005598192835897752,2016,santa,-0.8657483623048856
2016-12-29,-0.00475833054389249,2016,santa,0.0973070112782803
2017-01-02,0.0033089269482786546,2016,santa,-0.0148005272047835
2017-01-03,0.0009404992343572803,2016,santa,0.8789994977197457
2017-12-11,-0.0006108213608442292,2017,before,0.3039768763950956
2017-12-12,-0.00891303752285016,2017,before,-0.4244399239254126
2017-12-13,-0.003266564942249207,2017,before,0.7943945074410763
2017-12-14,-0.0020034835153748087,2017,before,-0.4462747431604796
2017-12-15,0.009642241834129801,2017,before,0.5098274936505165
2017-12-18,-0.011689019830061003,2017,before,-0.0076623762277905
2017-12-19,-0.011531351369170006,2017,before,-0.1349724271034746
2017-12-21,0.003161684189192456,2017,santa,-1.9648723475700791
2017-12-22,0.002494718396304334,2017,santa,0.4407699548177657
2017-12-26,0.0061508859224057326,2017,santa,-0.5408618978013369
2017-12-27,0.015355931100943665,2017,santa,0.384364516159863
2017-12-28,0.0041358575753344395,2017,santa,1.2648437969661197
2018-01-02,-0.005097361005178759,2017,santa,0.4928049214991903
2018-01-03,0.0023479574847691887,2017,santa,0.2702073105629532
2018-12-12,0.005705244408233125,2018,before,1.4418183450638722
2018-12-13,-0.0004489535917131455,2018,before,0.6232674072270461
2018-12-14,-0.005360805901132873,2018,before,-1.2488447140768577
2018-12-17,0.006615498476539597,2018,before,0.0826433605704446
2018-12-18,0.007706892815774549,2018,before,-0.433587149166259
2018-12-19,0.007048973444897544,2018,before,0.8113039361252294
2018-12-20,-0.007255545025927567,2018,before,-0.9005007557902123
2018-12-21,-0.006093946820725838,2018,santa,0.0664948143288546
2018-12-24,0.0018809279220718537,2018,santa,-0.3143348015002156
2018-12-26,-0.008750190270197267,2018,santa,-1.3138622134049591
2018-12-27,0.020440966088968792,2018,santa,0.0211996804036829
2018-12-28,0.003092567032710023,2018,santa,0.6211718374818931
2019-01-02,-0.00046740364458967463,2018,santa,-1.5207952057989749
2019-01-03,-0.00819417034010814,2018,santa,-0.8109477028917955
2019-12-12,0.004439515892758711,2019,before,1.5069185656875428
2019-12-13,-0.0028248563778233574,2019,before,1.5392846674874283
2019-12-16,0.0021514298812029143,2019,before,-0.0967675455016747
2019-12-17,-0.004169415594291023,2019,before,1.2697475053323304
2019-12-18,0.005006266175891738,2019,before,-0.041896902264471
2019-12-19,-0.001667778192869629,2019,before,0.0820157475129645
2019-12-20,0.00026533058380174803,2019,before,0.3469002824240119
2019-12-23,0.004908485891158489,2019,santa,-0.0213217939415311
2019-12-24,0.012807516013299042,2019,santa,-0.6184971277573004
2019-12-26,0.004417397382183021,2019,santa,0.3584276937647734
2019-12-27,0.011054602046517828,2019,santa,0.2857247270019902
2019-12-30,-0.0031016246052101015,2019,santa,-0.2967067193416772
2020-01-02,0.0011646463206926405,2019,santa,-1.0238116186621626
2020-01-03,-6.438864999207082e-05,2019,santa,0.0593075074055926
2020-12-14,-0.0012850225792921928,2020,before,-0.2837522384213309
2020-12-15,-0.005967523924985602,2020,before,-0.1947680438636467
2020-12-16,0.006891547357312215,2020,before,0.5430158781466687
2020-12-17,0.0019672483476852565,2020,before,-0.049069641015631
2020-12-18,0.0007600699762345888,2020,before,0.0631670911440007
2020-12-21,0.01715859562728983,2020,before,0.2333892771273271
2020-12-22,-0.025044609085843984,2020,before,-1.6184108212118908
2020-12-23,-0.006522850291128905,2020,santa,0.9562252118909154
2020-12-24,0.00872754335178931,2020,santa,1.704460359637272
2020-12-28,0.006350293035877841,2020,santa,0.0619906289513361
2020-12-29,0.014061394214388989,2020,santa,0.42405154508518
2020-12-30,0.005258692111281718,2020,santa,1.877673213501585
2021-01-04,-0.0007613636994531121,2020,santa,2.470183478248833
2021-01-05,0.0004571926851794385,2020,santa,1.566340673209421
2021-12-15,-0.0010146195180340517,2021,before,0.0481916173222796
2021-12-16,0.0005880232185913974,2021,before,0.5693475974313689
2021-12-17,0.0019069608520351391,2021,before,0.3765311015566874
2021-12-20,-0.014017553170754987,2021,before,-1.8136142339762464
2021-12-21,0.0023612500476012047,2021,before,0.4060084136643604
2021-12-22,-0.000319733852744425,2021,before,0.3176422112992405
2021-12-23,0.006093565327300248,2021,before,0.4587044140299312
2021-12-24,0.005890955876055306,2021,santa,0.4756238017592729
2021-12-27,0.004744005645012972,2021,santa,-0.4275579218363856
2021-12-28,0.005156669098187561,2021,santa,0.6897681675400946
2021-12-29,0.015705366268802565,2021,santa,-0.8923115798418313
2021-12-30,-0.00305105764848291,2021,santa,-0.5225065568202791
2022-01-04,0.002300436361290124,2021,santa,0.3892360845209497
2022-01-05,-0.0005755116984536282,2021,santa,-1.179899226775849
2022-12-14,0.008454716619996487,2022,before,1.1317694638970588
2022-12-15,0.0007468968876877874,2022,before,-1.5954998143951182
2022-12-16,-0.006656998223313212,2022,before,-0.0402356312728557
2022-12-19,-0.005580171539238947,2022,before,-0.3326284349829067
2022-12-20,-0.011954308740967255,2022,before,-0.802658117379984
2022-12-21,0.002411687014709347,2022,before,-0.1860072180468797
2022-12-22,0.013368515054930225,2022,before,1.1928134944633184
2022-12-23,-0.004002607692672203,2022,santa,-1.8262609386392012
2022-12-26,0.0019886349358909186,2022,santa,0.1491103501006785
2022-12-27,0.006324254438317828,2022,santa,0.6754079257149215
2022-12-28,0.01543235564220149,2022,santa,-2.243669040684837
2022-12-29,-0.012714728811646276,2022,santa,-1.9316384823744424
2023-01-02,-0.020928719081933278,2022,santa,-0.4797880941375898
2023-01-03,-0.009421010967681977,2022,santa,-0.3140623039235901
2023-12-12,-0.010144276454925993,2023,before,0.392415801621726
2023-12-13,-0.004186109638971123,2023,before,-0.9707095193917548
2023-12-14,0.012684011849911943,2023,before,1.3351079279824818
2023-12-15,-0.007821846988039154,2023,before,0.7617435666441796
2023-12-18,-0.012462086436861758,2023,before,0.1287291404413304
2023-12-19,0.002179390392673198,2023,before,0.0658369110713819
2023-12-20,0.009061734125912184,2023,before,1.7811605431193644
2023-12-21,-0.009840077112140397,2023,santa,-0.546227633789631
2023-12-22,0.0062726674783896725,2023,santa,-0.0196156091796906
2023-12-26,-0.0005140985705318638,2023,santa,0.118486873042567
2023-12-27,-0.013306414752319615,2023,santa,0.4191944079145138
2023-12-28,0.006982223080886466,2023,santa,1.5986236578104052
2024-01-02,-0.003788308641700308,2023,santa,0.5472126908107056
2024-01-03,-0.00015269676713601998,2023,santa,-2.340990506003271
